Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
"https://www.tecategroup.com/products/data_sheet.php?i=PBL-2.5/5.4","//media.digikey.com/Photos/TecateGroup/MFG_SCAP-PBL-2-5.jpg","2085-SCAP,PBL-2.5/5.4-ND","SCAP,PBL-2.5/5.4","Tecate Group","Tecate Group","CAP 2.5F 5.4V UCAP PACK","13","6.96","0","1","Bulk","PBL","Active","2.5 F","-","5.4 V","180mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.472"" (12.00mm)","0.866"" L x 0.472"" W (22.00mm x 12.00mm)","0.984"" (25.00mm)","-40°C ~ 85°C"
"https://datasheets.avx.com/AVX-SCM.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCM-SHRK-WRP.jpg","478-11316-ND","SCMR22L105SRBB0","AVX Corporation","AVX Corporation","CAP 1F -10% +30% 9V T/H","395","6.97","0","1","Bulk","SCM","Active","1 F","-10%, +30%","9 V","350mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.531"" (13.50mm)","0.945"" L x 0.315"" W (24.00mm x 8.00mm)","0.925"" (23.50mm)","-40°C ~ 65°C"
"https://www.vishay.com/docs/28421/220edlc-enycap.pdf","//media.digikey.com/Photos/Vishay%20Beyschlag%20Photos/MFG_MAL2220XXXXXE3.jpg","56-MAL222050009E3-ND","MAL222050009E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP ALUM 55F 2.7V 1000H","0","6.98402","0","500","Box","ENYCAP™ 220 EDLC","Active","55 F","-20%, +50%","2.7 V","18mOhm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.709"" Dia (18.00mm)","1.673"" (42.50mm)","-40°C ~ 85°C"
"http://datasheets.avx.com/AVX-SCC-3.0V.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCC-SHRK-WRP.jpg","478-11292-ND","SCCV40E506SRB","AVX Corporation","AVX Corporation","CAPACITOR 50F -10% +30% 3V T/H","0","7","0","1","Bulk","SCC","Active","50 F","-10%, +30%","3 V","-","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.315"" (8.00mm)","0.709"" Dia (18.00mm)","1.654"" (42.00mm)","-40°C ~ 65°C"
"//media.digikey.com/pdf/Data%20Sheets/Taiyo%20Yuden%20PDFs%20URL%20links/PAS1230LN2R7166.pdf","//media.digikey.com/Photos/Taiyo%20Yuden%20Photos/MFG_PAS.jpg","587-6189-ND","PAS1230LN2R7166","Taiyo Yuden","Taiyo Yuden","CAP 16F 20% 2.7V T/H","38","7.04","0","1","Bulk","PAS","Active","16 F","±20%","2.7 V","50mOhm @ 1kHz","-","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.492"" Dia (12.50mm)","1.260"" (32.00mm)","-40°C ~ 70°C"
"https://api.kemet.com/component-edge/download/datasheet/FC0H474ZFTBR32-SS.pdf","//media.digikey.com/Photos/Kemet%20Photos/FC0H474ZFTBR32-SS.JPG","399-13095-2-ND,399-13095-1-ND,399-13095-6-ND","FC0H474ZFTBR32-SS","KEMET","KEMET","CAP 470MF -20% +80% 5.5V SMD","7,402","7.06","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","FC","Active","470 mF","-20%, +80%","5.5 V","13Ohm @ 1kHz","-","SMD (SMT) Tabs","Surface Mount","Radial, Can - SMD","-","0.630"" Dia (16.00mm)","0.374"" (9.50mm)","-25°C ~ 70°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dvn_e.pdf","//media.digikey.com/Photos/Elna%20America%20Photos/DVN%20SERIES.JPG","604-1167-2-ND,604-1167-1-ND,604-1167-6-ND","DVN-5R5D224T-R5","Elna America","Elna America","CAP 220MF -20% +80% 5.5V SMD","549","7.06","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","DVN","Active","220 mF","-20%, +80%","5.5 V","30Ohm","1000 Hrs @ 70°C","SMD (SMT) Tabs","Surface Mount","Radial, Can - SMD","-","0.492"" Dia (12.50mm)","0.335"" (8.50mm)","-25°C ~ 70°C"
"http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4302_A_Series.pdf","-","A1020-2R5105-AP-ND","A1020-2R5105-AP","Eaton - Electronics Division","Eaton - Electronics Division","CAP 1F -20% +80% 2.5V T/H","0","7.07742","0","500","Bulk","A","Active","1 F","-20%, +80%","2.5 V","90mOhm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","0.858"" (21.80mm)","-25°C ~ 70°C"
"https://datasheets.avx.com/AVX-SCM.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCM-SHRK-WRP.jpg","478-12182-ND","SCMR18G604SRBB0","AVX Corporation","AVX Corporation","CAP 600MF -10% +30% 7.5V T/H","91","7.12","0","1","Bulk","SCM","Active","600 mF","-10%, +30%","7.5 V","225mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.531"" (13.50mm)","0.945"" L x 0.315"" W (24.00mm x 8.00mm)","0.768"" (19.50mm)","-40°C ~ 85°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-pm-supercapacitors-cylindrical-pack-data-sheet.pdf","//media.digikey.com/photos/Cooper%20Bussmann%20Photos/PM-5R0V105-R.JPG","283-3015-ND","PM-5R0V105-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 1F -20% +80% 5V T/H","1,353","7.16","0","1","Bulk","PM","Active","1 F","-20%, +80%","5 V","200mOhm","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.465"" (11.80mm)","0.681"" L x 0.354"" W (17.30mm x 9.00mm)","0.866"" (22.00mm)","-40°C ~ 60°C"
"https://www.tecategroup.com/products/data_sheet.php?i=TPLH-2R7/44WR12X46","//media.digikey.com/Photos/TecateGroup/MFG_TPLH-2R7-Series.jpg","2085-TPLH-2R7/44WR12X46-ND","TPLH-2R7/44WR12X46","Tecate Group","Tecate Group","CAP 44F 2.7V THROUGH HOLE","716","7.17","0","1","Bulk","TPLH-2R7","Active","44 F","-","2.7 V","13mOhm @ 1kHz","1500 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.209"" (5.30mm)","0.492"" Dia (12.50mm)","1.890"" (48.00mm)","-40°C ~ 85°C"
"https://datasheets.avx.com/AVX-SCM.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCM-SHRK-WRP.jpg","478-12180-ND","SCMR22L105SSBB0","AVX Corporation","AVX Corporation","CAP 1F -10% +30% 9V T/H","88","7.19","0","1","Bulk","SCM","Active","1 F","-10%, +30%","9 V","350mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.453"" (11.50mm)","1.047"" L x 0.374"" W (26.60mm x 9.50mm)","1.004"" (25.50mm)","-40°C ~ 65°C"
"http://datasheets.avx.com/AVX-SCC.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCC-SHRK-WRP.jpg","478-10021-ND","SCCV40B506SRB","AVX Corporation","AVX Corporation","CAP 50F -10% +30% 2.7V T/H","6","7.2","0","1","Bulk","SCC","Active","50 F","-10%, +30%","2.7 V","18mOhm @ 1kHz","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.315"" (8.00mm)","0.709"" Dia (18.00mm)","1.654"" (42.00mm)","-40°C ~ 65°C"
"https://www.tecategroup.com/products/data_sheet.php?i=TPLC-3R8/70MR10X25","//media.digikey.com/photos/TecateGroup/MFG_TPLC-3R8-70MR10X25.jpg","2085-TPLC-3R8/70MR10X25-ND","TPLC-3R8/70MR10X25","Tecate Group","Tecate Group","CAP HYBRID 70F 3.8V T/H","0","7.2","0","1","Tray","TPLC","Active","70 F","±20%","3.8 V","105mOhm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","1.063"" (27.00mm)","-15°C ~ 70°C"
"https://datasheets.avx.com/AVX-SCM.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCM-SHRK-WRP.jpg","478-11481-ND","SCMT32C755SRBA0","AVX Corporation","AVX Corporation","CAP 7.5F -10% +30% 5V T/H","483","7.21","0","1","Bulk","SCM","Active","7.5 F","-10%, +30%","5 V","70mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.709"" (18.00mm)","0.984"" L x 0.492"" W (25.00mm x 12.50mm)","1.319"" (33.50mm)","-40°C ~ 85°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-hv-supercapacitors-cylindrical-cells-data-sheet.pdf","-","HV1030-2R7H106-1-ND","HV1030-2R7H106-1","Eaton - Electronics Division","Eaton - Electronics Division","CAP 10F -10%, +30% 2.7V T/H","0","7.23354","0","240","Bulk","HV","Active","10 F","-10%, +30%","2.7 V","34mOhm","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","1.240"" (31.50mm)","-40°C ~ 65°C"
